# {"t_start": 1575375206.093287, "env_id": "MobileDualUR5HuskyPickAndPlace-v1"} 
r,l,t
-60.557483,100,2173.526942
-131.531865,100,2176.017576
-56.091159,100,2179.023655
-65.10953,100,2182.223459
-63.656548,100,2185.294116
-49.208814,100,2187.844178
-58.576679,100,2190.338701
-43.728564,100,2193.21008
-65.700511,100,2196.479556
-73.179006,100,2199.474668
-83.451773,100,2202.53415
-64.680439,100,2206.277298
-63.766248,100,2208.963728
-61.237186,100,2211.843073
-59.253025,100,2214.859163
-37.621254,100,2217.901186
-67.935466,100,2220.76934
-117.747172,100,2223.029639
-59.363366,100,2225.582373
-33.683739,100,2228.540334
-56.448754,100,2231.567378
-62.047073,100,2234.692257
-58.057847,100,2237.668022
-53.063587,100,2240.362992
-48.043163,100,2242.95575
-90.595968,100,2245.45376
-76.235962,100,2248.409021
-51.85662,100,2251.441871
-42.805936,100,2254.787654
-58.549962,100,2257.391107
-33.322683,100,2259.929072
-55.610641,100,2263.939202
-1132.178239,100,2266.727713
-61.264102,100,2269.921743
-106.282476,100,2273.030274
-69.481105,100,2275.759399
-113.801712,100,2277.945863
-46.835771,100,2280.546943
-81.463507,100,2283.522574
-99.030913,100,2286.726862
-41.98894,100,2289.800295
-54.672134,100,2292.71124
-68.741562,100,2295.255393
-55.226924,100,2297.980902
-66.647898,100,2300.827866
-91.619809,100,2303.645595
-70.152757,100,2306.92917
-114.246531,100,2309.715243
-61.128351,100,2312.167239
-69.880701,100,2315.144791
-57.823168,100,2318.181599
-63.303648,100,2321.241842
-55.695649,100,2325.598352
-71.593018,100,2328.364181
-83.63282,100,2331.082552
-54.781572,100,2333.982491
-63.34676,100,2336.983969
-69.702017,100,2340.295566
-69.689511,100,2343.353563
-38.066285,100,2346.036369
-49.073741,100,2348.805862
-64.36327,100,2351.374321
-60.254168,100,2354.428134
-82.7297,100,2357.474915
-83.926257,100,2360.54232
-94.925491,100,2363.274529
-98.777875,100,2365.833973
-52.816539,100,2368.413248
-75.479639,100,2371.405116
-33.229754,100,2374.452826
-1101.908343,100,2377.12136
-49.811267,100,2380.239283
-52.548278,100,2384.161944
-68.154549,100,2386.922502
-81.981731,100,2389.847109
-58.593934,100,2393.067831
-78.63594,100,2396.159535
-78.682589,100,2399.04568
-57.594557,100,2401.643098
-92.085857,100,2404.028897
-51.169788,100,2407.057601
-70.47398,100,2410.202273
-77.367827,100,2413.052593
-60.398243,100,2415.803049
-64.857619,100,2418.129155
-54.778799,100,2420.671273
-47.400479,100,2423.802202
-62.362143,100,2426.894809
-45.547494,100,2430.086424
-65.145445,100,2432.995083
-73.95449,100,2435.542603
-76.362005,100,2438.253328
-36.967004,100,2441.22753
-57.348458,100,2445.779654
-85.02251,100,2448.738955
-50.268833,100,2451.670226
-59.530488,100,2454.28065
-67.979764,100,2457.169056
-54.001469,100,2460.229799
-55.077455,100,2463.275411
-55.638969,100,2466.406629
-74.313078,100,2469.31036
-57.558108,100,2472.089876
-68.304277,100,2474.976895
-94.096009,100,2478.034899
-71.389838,100,2481.219833
-77.11728,100,2484.187399
-60.820536,100,2486.853699
-49.540498,100,2489.506059
-70.029457,100,2492.420559
-50.402152,100,2495.579579
-70.482843,100,2498.710908
-61.003609,100,2501.658547
-72.816708,100,2505.483108
-62.73788,100,2508.215288
-56.219048,100,2511.341838
-41.858965,100,2514.507324
-56.618975,100,2517.602549
-1068.735245,100,2520.231535
-102.731859,100,2522.604484
-65.950781,100,2525.303324
-43.18029,100,2528.273601
-81.726058,100,2531.045929
-57.298825,100,2534.332083
-51.982523,100,2537.463757
-57.722204,100,2540.143315
-56.698395,100,2542.955418
-44.141399,100,2546.063619
-55.774292,100,2549.400635
-53.235848,100,2552.316943
-65.495869,100,2555.116729
-1123.416353,100,2557.369446
-66.508206,100,2560.129701
-67.844939,100,2563.117397
-1090.66236,100,2567.140116
-86.702827,100,2569.992484
-36.00807,100,2572.534764
-1097.03766,100,2574.860632
-43.076927,100,2577.675204
-103.781429,100,2580.721688
-92.900252,100,2583.601383
