# {"env_id": "MobileDualUR5HuskyPickAndPlaceGym-v1", "t_start": 1575578546.9829633} 
r,l,t
-60.149328,100,1008.40412
-78.897961,100,1010.156059
-85.67891,100,1011.935971
-87.072537,100,1013.646645
-77.082918,100,1015.279962
-78.076272,100,1016.957272
-85.496384,100,1018.621594
-79.050454,100,1020.38436
-67.007478,100,1022.085604
-76.53022,100,1023.817374
-96.524822,100,1025.507297
-62.484715,100,1027.111077
-91.683766,100,1028.755414
-93.274709,100,1030.360144
-58.286516,100,1032.573562
-46.988591,100,1034.323705
-53.400224,100,1035.954094
-84.081402,100,1037.551183
-116.314429,100,1039.127813
-143.147047,100,1040.881084
-131.864012,100,1042.399549
-140.949753,100,1044.242175
-69.148207,100,1045.972473
-141.547654,100,1047.544745
-93.229289,100,1049.228839
-99.668988,100,1050.816151
-83.998985,100,1052.460255
-69.75022,100,1054.150948
-65.453161,100,1055.760379
-79.092112,100,1057.435924
-72.937752,100,1059.139137
-55.588165,100,1060.814723
-79.499328,100,1062.445079
-66.141457,100,1064.096954
-1136.282828,100,1065.438501
-63.432348,100,1067.658011
-95.656679,100,1069.388888
-112.105914,100,1071.08566
-68.49247,100,1072.756658
-60.827513,100,1074.418508
-72.005881,100,1076.073717
-62.766635,100,1077.758165
-106.522898,100,1079.373689
-84.480664,100,1081.054027
-70.929766,100,1082.702446
-78.174578,100,1084.339323
-116.754717,100,1085.921353
-60.187341,100,1087.541658
-67.262648,100,1089.248759
-60.839449,100,1090.865744
-70.254388,100,1092.469139
-65.230727,100,1094.140364
-60.296193,100,1095.736971
-162.032008,100,1097.404188
-79.515392,100,1099.054809
-76.959097,100,1101.21681
-67.485643,100,1102.889482
-134.210817,100,1104.637788
-134.436031,100,1106.117146
-60.830037,100,1107.794455
-1119.118505,100,1109.320045
-51.70237,100,1111.003466
-63.130323,100,1112.680499
-66.149719,100,1114.294383
-70.21661,100,1115.985207
-65.568527,100,1117.705491
-67.250785,100,1119.395059
-1110.135722,100,1120.971541
-144.901556,100,1122.44971
-114.576327,100,1123.995926
-55.352858,100,1125.66194
-82.41445,100,1127.340996
-1120.59666,100,1128.898329
-92.283024,100,1130.722305
-70.928517,100,1132.45139
-1136.527145,100,1134.014221
-92.238256,100,1136.143743
-116.811454,100,1137.71372
-61.415825,100,1139.426468
-71.208684,100,1141.112338
-70.433805,100,1142.826137
-140.49,100,1144.534549
-1131.370782,100,1145.967242
-68.873409,100,1147.660141
-62.666534,100,1149.366614
-61.978091,100,1151.087661
-101.334315,100,1152.748974
-60.066608,100,1154.366635
-73.651734,100,1156.001459
-88.753978,100,1157.642812
-53.182528,100,1159.409163
-54.508727,100,1161.107346
-68.525272,100,1162.757426
-65.324328,100,1164.399603
-96.328655,100,1166.104327
-83.253298,100,1167.720297
-82.273308,100,1169.941781
-72.374552,100,1171.650044
-71.771615,100,1173.313273
-81.794294,100,1175.044279
-76.312449,100,1176.655188
-121.244391,100,1178.466322
-116.249456,100,1180.079165
-83.491866,100,1181.762706
-69.769414,100,1183.452573
-53.833974,100,1185.165167
-96.027,100,1186.840461
-80.104806,100,1188.487383
-70.530209,100,1190.217129
-68.305751,100,1191.916527
-146.565613,100,1193.490211
-60.888401,100,1195.185522
-52.436357,100,1196.892923
-81.533563,100,1198.655506
-142.540927,100,1200.5096
-120.185391,100,1202.175309
-43.243696,100,1203.993983
-54.931037,100,1206.205209
-72.814954,100,1207.996805
-49.166339,100,1209.720206
-113.909428,100,1211.292851
-47.093458,100,1212.993191
-90.35692,100,1214.679719
-59.046541,100,1216.405916
-66.582573,100,1218.127134
-84.431383,100,1219.863289
-81.983364,100,1221.465918
-57.127505,100,1223.106282
-70.715051,100,1224.742651
-77.527431,100,1226.463033
-75.769608,100,1228.152534
-79.601637,100,1229.843212
-64.553346,100,1231.481717
-59.094328,100,1233.119956
-64.060619,100,1234.756105
-79.136421,100,1236.488649
-70.998605,100,1238.198744
-71.142618,100,1240.480872
-69.973207,100,1242.087197
-138.525025,100,1243.572524
-116.528956,100,1245.106829
-73.124006,100,1246.798357
-75.887433,100,1248.468486
-60.353171,100,1250.178389
-105.625999,100,1251.840025
-79.948733,100,1253.467906
-74.242907,100,1255.093066
-66.770482,100,1256.732519
-146.815172,100,1258.470222
-54.548522,100,1260.034902
-77.578086,100,1261.758057
-62.367736,100,1263.429772
-47.953541,100,1265.052126
-63.056525,100,1266.683233
-42.914546,100,1268.463836
-71.355689,100,1270.178393
-74.296283,100,1271.785906
-95.928618,100,1273.49966
-65.973558,100,1275.633318
-68.372401,100,1277.312972
-69.355928,100,1278.969889
-70.421963,100,1280.602883
-40.035294,100,1282.197297
-67.753224,100,1283.850596
-118.734348,100,1285.564753
-61.763781,100,1287.236391
-37.571101,100,1288.972472
-64.89965,100,1290.600189
-68.771279,100,1292.239091
-74.645175,100,1293.899597
-52.710404,100,1295.660712
-49.214379,100,1297.319313
-108.954805,100,1298.99778
-73.248608,100,1300.748367
-58.087916,100,1302.382572
-53.314821,100,1304.135086
-58.037623,100,1305.726961
-37.797902,100,1307.483763
-52.0669,100,1309.666735
-1128.8125,100,1311.240394
-70.605044,100,1312.970428
-113.212766,100,1314.702949
-69.875863,100,1316.369597
-126.639418,100,1317.869122
-46.625211,100,1319.519338
-80.424633,100,1321.129133
-122.036618,100,1322.802619
-42.772102,100,1324.457446
-51.548637,100,1326.124568
-66.271414,100,1327.807608
-51.714371,100,1329.491919
-63.408631,100,1331.03237
-118.907055,100,1332.78531
-69.256377,100,1334.522129
-134.600102,100,1336.396314
-65.445259,100,1337.997797
-65.111654,100,1339.736894
-64.072384,100,1341.439767
-68.111238,100,1343.067609
-55.444404,100,1345.343738
-67.951713,100,1346.996256
-109.578032,100,1348.832088
-48.456499,100,1350.540622
-63.983431,100,1352.161354
-68.566218,100,1353.887819
-70.553138,100,1355.530602
-39.052544,100,1357.270195
-48.731691,100,1359.011505
-64.790141,100,1360.630127
-65.319899,100,1362.300149
-86.923055,100,1363.911885
-86.636855,100,1365.533495
-128.162893,100,1367.206951
-117.617859,100,1368.860325
-66.401249,100,1370.533094
-76.56806,100,1372.115815
-412.331386,100,1373.717149
-1108.352419,100,1375.117725
-49.119248,100,1376.873883
-54.930819,100,1379.10863
-68.2188,100,1380.796981
-82.811019,100,1382.436603
-59.152182,100,1384.177933
-83.113095,100,1385.84128
-80.518184,100,1387.565636
-60.709244,100,1389.254511
-108.735646,100,1390.770496
-51.872371,100,1392.357689
-75.726073,100,1394.005997
-81.37799,100,1395.647967
-54.988032,100,1397.324985
-69.659771,100,1398.958677
-61.539327,100,1400.628007
-45.532462,100,1402.43893
-62.843352,100,1404.112257
-45.102884,100,1405.761931
-63.813535,100,1407.420417
-74.488876,100,1409.024488
-69.941658,100,1410.776022
-43.395994,100,1412.421381
-51.576944,100,1414.641829
-86.775122,100,1416.324903
-51.839019,100,1417.985845
-59.248703,100,1419.623826
-62.093277,100,1421.349238
-54.892128,100,1422.96226
-61.150516,100,1424.581823
-54.585386,100,1426.26192
-72.379046,100,1427.983682
-52.14063,100,1429.79315
-64.881643,100,1431.487602
-122.719109,100,1433.083773
-77.316366,100,1434.796406
-78.647404,100,1436.413304
-59.47215,100,1438.112537
-47.695434,100,1439.776115
-74.062951,100,1441.444108
-55.558008,100,1443.098558
-77.589359,100,1444.814131
-63.301339,100,1446.457227
-72.106981,100,1448.662406
-61.576049,100,1450.389383
-57.177455,100,1452.129969
-44.066677,100,1453.777734
-57.937154,100,1455.436942
-1087.091778,100,1456.920203
-105.641183,100,1458.582265
-69.706687,100,1460.207796
-43.998884,100,1461.866208
-93.738607,100,1463.485781
-55.434634,100,1465.237725
-49.397318,100,1466.962203
-59.358125,100,1468.626864
-57.869522,100,1470.359442
-39.188128,100,1472.089658
-53.575764,100,1473.794831
-44.319442,100,1475.430467
-66.550473,100,1477.090913
-1116.198762,100,1478.648567
-68.262023,100,1480.375682
-66.99379,100,1482.025699
-1115.863581,100,1483.940432
-97.035567,100,1485.599772
-47.77656,100,1487.236955
-1126.599456,100,1488.667002
-44.289851,100,1490.436674
-109.277707,100,1492.233966
-99.792619,100,1493.8005
-40.58737,100,1495.428335
-63.867475,100,1497.114485
-58.611321,100,1498.757639
-56.884686,100,1500.462726
-51.23606,100,1502.150845
-70.319659,100,1503.892378
-55.912033,100,1505.635573
-92.574601,100,1507.146997
-1095.678811,100,1508.617435
-55.371443,100,1510.249075
-104.571935,100,1511.903191
-113.856187,100,1513.426872
-1096.102908,100,1514.880579
-87.972754,100,1517.054281
-38.723976,100,1518.712394
-49.257104,100,1520.476952
-78.027448,100,1522.187843
